epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,30530.8,0.8546,0.36788,0.97721,0.97952,0.95884,0.97811,0.72743,1.04595,0.34186,1.0465,0.00505,0.00505,0.00505
152,30732.8,0.8601,0.36621,0.98127,0.97952,0.95881,0.97827,0.72765,1.04609,0.34181,1.04661,0.005017,0.005017,0.005017
153,30934.8,0.8568,0.36547,0.98268,0.9794,0.959,0.97857,0.72723,1.04608,0.34223,1.0469,0.004984,0.004984,0.004984
154,31136.7,0.85314,0.36603,0.97743,0.97903,0.95945,0.97855,0.7272,1.04648,0.34184,1.04692,0.004951,0.004951,0.004951
155,31338.7,0.84902,0.36088,0.97562,0.97848,0.959,0.97821,0.72764,1.04629,0.34173,1.04687,0.004918,0.004918,0.004918
156,31540.4,0.85315,0.36461,0.97781,0.97821,0.95854,0.97804,0.72817,1.04594,0.34199,1.04659,0.004885,0.004885,0.004885
157,31742.6,0.84552,0.36315,0.97312,0.97883,0.959,0.97828,0.72799,1.04601,0.34217,1.04677,0.004852,0.004852,0.004852
158,31944.7,0.84932,0.36471,0.9781,0.97862,0.95923,0.97833,0.72775,1.04647,0.34194,1.04679,0.004819,0.004819,0.004819
159,32146.7,0.84547,0.36423,0.97575,0.97815,0.95877,0.97819,0.72827,1.04672,0.3415,1.04691,0.004786,0.004786,0.004786
160,32348.8,0.83524,0.35434,0.96936,0.97908,0.95934,0.97848,0.72865,1.04702,0.34154,1.04707,0.004753,0.004753,0.004753
161,32550.8,0.83696,0.3611,0.96898,0.97908,0.95929,0.97857,0.72846,1.04719,0.3414,1.04709,0.00472,0.00472,0.00472
162,32752.7,0.83789,0.35886,0.9713,0.97903,0.95945,0.97857,0.72864,1.04733,0.34107,1.04704,0.004687,0.004687,0.004687
163,32954.7,0.83842,0.357,0.96963,0.97922,0.95991,0.97881,0.72887,1.04697,0.34127,1.04693,0.004654,0.004654,0.004654
164,33156.7,0.83157,0.35599,0.96807,0.97923,0.95991,0.97876,0.72829,1.04748,0.34151,1.04691,0.004621,0.004621,0.004621
165,33358.5,0.83471,0.36087,0.96966,0.98,0.95984,0.97884,0.72842,1.04754,0.34131,1.04683,0.004588,0.004588,0.004588
166,33560.3,0.83075,0.35941,0.96771,0.98,0.95992,0.97888,0.72807,1.04736,0.34126,1.04684,0.004555,0.004555,0.004555
167,33762.3,0.82063,0.35312,0.96741,0.9791,0.95945,0.97871,0.72808,1.04756,0.34143,1.04708,0.004522,0.004522,0.004522
168,33964.3,0.82447,0.35255,0.96743,0.97862,0.95917,0.97853,0.72834,1.04752,0.34179,1.04712,0.004489,0.004489,0.004489
169,34166.1,0.82859,0.35587,0.97252,0.97862,0.95915,0.97859,0.72833,1.04761,0.34168,1.04721,0.004456,0.004456,0.004456
170,34368,0.82412,0.35864,0.96969,0.97862,0.95919,0.9786,0.72818,1.04778,0.341,1.04734,0.004423,0.004423,0.004423
171,34569.9,0.82105,0.35041,0.9676,0.97862,0.9592,0.97863,0.72871,1.04776,0.34133,1.04742,0.00439,0.00439,0.00439
172,34771.9,0.81155,0.348,0.96262,0.97862,0.95915,0.97879,0.72908,1.04791,0.34041,1.04745,0.004357,0.004357,0.004357
173,34973.8,0.81036,0.34673,0.96391,0.97862,0.95917,0.97879,0.72901,1.04818,0.34104,1.0476,0.004324,0.004324,0.004324
174,35175.7,0.81418,0.35269,0.96013,0.97862,0.95915,0.97884,0.72945,1.04865,0.3405,1.04764,0.004291,0.004291,0.004291
175,35377.5,0.81121,0.3479,0.96235,0.97862,0.95908,0.97883,0.72916,1.04862,0.34079,1.0478,0.004258,0.004258,0.004258
176,35579.3,0.80372,0.3469,0.96168,0.97867,0.959,0.97875,0.72949,1.04858,0.34002,1.04788,0.004225,0.004225,0.004225
177,35781.1,0.80612,0.34711,0.96555,0.97882,0.959,0.97871,0.72874,1.04895,0.34006,1.04826,0.004192,0.004192,0.004192
178,35983,0.79885,0.344,0.96291,0.97889,0.959,0.97868,0.72809,1.04947,0.34034,1.04849,0.004159,0.004159,0.004159
179,36184.9,0.79732,0.34255,0.96157,0.97906,0.95876,0.97874,0.72859,1.04946,0.34024,1.04866,0.004126,0.004126,0.004126
180,36387,0.8015,0.34095,0.96043,0.97907,0.95889,0.9787,0.72787,1.04977,0.3409,1.04876,0.004093,0.004093,0.004093
181,36589,0.79883,0.34292,0.95567,0.97853,0.959,0.97867,0.72817,1.04983,0.34008,1.04895,0.00406,0.00406,0.00406
182,36791,0.79859,0.33998,0.95752,0.97838,0.959,0.97866,0.72796,1.04965,0.34024,1.04889,0.004027,0.004027,0.004027
183,36993.1,0.79624,0.34145,0.95463,0.9784,0.959,0.97865,0.72796,1.0501,0.33989,1.049,0.003994,0.003994,0.003994
184,37194.9,0.78894,0.33857,0.95433,0.97816,0.95923,0.97896,0.72817,1.05013,0.33998,1.04917,0.003961,0.003961,0.003961
185,37396.8,0.78303,0.3415,0.9564,0.97816,0.95916,0.97895,0.72733,1.05059,0.34004,1.04931,0.003928,0.003928,0.003928
186,37598.6,0.78692,0.33839,0.95538,0.97869,0.959,0.97898,0.72712,1.05054,0.34009,1.04945,0.003895,0.003895,0.003895
187,37800.4,0.78526,0.34024,0.9539,0.97904,0.95945,0.97899,0.72712,1.05087,0.34021,1.04959,0.003862,0.003862,0.003862
188,38002.4,0.77836,0.33424,0.95387,0.97856,0.95945,0.97896,0.72696,1.05094,0.3397,1.04962,0.003829,0.003829,0.003829
